,Name,Venue Name,Venue Address,Date,Time,Price,Ticket Link
40,S&S Presents - Hurray For The Riff Raff - Sen Morimoto,The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Apr 10, 2024",Event: 6:00am,$20.00,https://www.24tix.com/event/fwx6ezbmdfaljmoyketr4uqove
41,S&S Presents - Johnny Manchild & The Poor Bastards,The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Apr 15, 2024",Event: 6:00am,$15.00,https://www.24tix.com/event/ho6xv7j65nfb5jdnoyv5ej6nta
42,S&S Presents - Katie Pruitt - Mantras Tour,The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Apr 17, 2024",Event: 6:00am,$22.00,https://www.24tix.com/event/c67shr4jhbfifdgvygzfrz4c6q
43,S&S Presents - Matthew Logan Vasquez,The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Apr 24, 2024",Event: 6:00am,$20.00,https://www.24tix.com/event/77klei3cr5csdbf6ny2qrh472a
44,S&S Presents - Julia Wolf - Scro,The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Apr 25, 2024",Event: 6:00am,$15.00,https://www.24tix.com/event/7ext3w2iofeovilqugemi7xr4u
45,S&S Presents - The Strumbellas - Part Time Believer Tour,The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Apr 27, 2024",Event: 6:00am,$25.00,https://www.24tix.com/event/ljqmwi2oqbbaxda43xj7bzoh4e
46,99.9FM KUAA Presents - Helado Negro,The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"May 05, 2024",Event: 6:00am,$20.00,https://www.24tix.com/event/cks5th4ndra6tlwhh3qcj2uita
47,S&S Presents - Sam Evian - Hannah Cohen,The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"May 10, 2024",Event: 6:00am,$18.00,https://www.24tix.com/event/vxu7mjrigbdg3e6sepvulwuy2a
48,S&S Presents - Donny Benét,The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"May 13, 2024",Event: 8:00am,$20.00,https://www.24tix.com/event/tv5udxnegvbkvckzil76mypf4i
49,S&S Presents - Sarah Shook & the Disarmers,The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Jul 12, 2024",Event: 6:00am,$17.00,https://www.24tix.com/event/kw4dli47rzd7deedrlag4djhl4
50,S&S Presents - Tophouse,The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Jul 15, 2024",Event: 6:00am,$17.00,https://www.24tix.com/event/v3sf23q72bfvdj5p4n5wlsxddm
51,POSTFONTAINE PRESENTS - KING BUZZO & TREVOR DUNN - JD PINKUS,The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Aug 15, 2024",Event: 6:00am,$29.50,https://www.24tix.com/event/uxshsdgklnfevb2zahmvl4ekkm
